number	set	theta	degrees	arc	dog	unmissable	pos	pattern
176	44	0.43	24	40	1	0	4	dog 40
177	45	3.83	219	40	1	0	1	dog 40
178	45	0.79	45	40	1	0	2	dog 40
179	45	0.09	5	40	1	0	3	dog 40
180	45	5.37	307	40	1	0	4	dog 40
181	46	0.19	11	40	1	0	1	dog 40
182	46	6.24	358	40	1	0	2	dog 40
183	46	2.16	124	40	1	0	3	dog 40
184	46	2.36	135	40	1	0	4	dog 40
185	47	3.69	211	40	1	0	1	dog 40
186	47	0.77	44	40	1	0	2	dog 40
187	47	3.52	202	40	1	0	3	dog 40
188	47	2.17	125	40	1	0	4	dog 40
189	48	4.24	243	40	1	0	1	dog 40
190	48	5.31	304	40	1	0	2	dog 40
191	48	0.51	29	40	1	0	3	dog 40
192	48	6.25	358	40	1	0	4	dog 40
193	49	3.07	176	40	1	0	1	dog 40
194	49	4.66	267	40	1	0	2	dog 40
195	49	5.09	292	40	1	0	3	dog 40
196	49	5.81	333	40	1	0	4	dog 40
197	50	3.30	189	40	1	0	1	dog 40
198	50	0.50	29	40	1	0	2	dog 40
199	50	1.55	89	40	1	0	3	dog 40
200	50	4.11	236	40	1	0	4	dog 40
201	51	5.82	334	40	1	0	1	dog 40
202	51	6.24	357	40	1	0	2	dog 40
203	51	5.68	326	40	1	0	3	dog 40
204	51	6.02	345	40	1	0	4	dog 40
205	52	5.89	337	17	1	0	1	dog 17
206	52	4.75	272	17	1	0	2	dog 17
207	52	3.61	207	17	1	0	3	dog 17
208	52	1.59	91	17	1	0	4	dog 17
209	53	6.16	353	17	1	0	1	dog 17
210	53	4.17	239	17	1	0	2	dog 17
211	53	1.65	95	17	1	0	3	dog 17
212	53	0.14	8	17	1	0	4	dog 17
213	54	3.47	199	17	1	0	1	dog 17
214	54	3.59	206	17	1	0	2	dog 17
215	54	4.07	233	17	1	0	3	dog 17
216	54	3.06	175	17	1	0	4	dog 17
217	55	6.06	347	17	1	0	1	dog 17
218	55	0.54	31	17	1	0	2	dog 17
219	55	0.72	41	17	1	0	3	dog 17
